# ta1 =         1.0000000000 mua =        -0.8001000000 m1 =         1.1001000000 eo1 =         5.0000000000 m2 =         0.7001000000 eo2 =         1.0000000000 ta2 =         0.5000000000 ta3 =         0.4000000000
# kx/pi ky/pi eng1 eng2 eng3
       -1.0000000000       -1.0000000000       -5.5079109948        0.2763977814        2.6318132134
       -1.0000000000       -0.9800000000       -5.5072899734        0.2759273401        2.6316626333
       -1.0000000000       -0.9600000000       -5.5054286174        0.2745169077        2.6312117097
       -1.0000000000       -0.9400000000       -5.5023320514        0.2721691654        2.6304628860
       -1.0000000000       -0.9200000000       -5.4980088182        0.2688886071        2.6294202111
       -1.0000000000       -0.9000000000       -5.4924708811        0.2646815754        2.6280893058
       -1.0000000000       -0.8800000000       -5.4857336273        0.2595563125        2.6264773147
       -1.0000000000       -0.8600000000       -5.4778158715        0.2535230242        2.6245928473
       -1.0000000000       -0.8400000000       -5.4687398608        0.2465939554        2.6224459053
       -1.0000000000       -0.8200000000       -5.4585312788        0.2387834773        2.6200478014
       -1.0000000000       -0.8000000000       -5.4472192503        0.2301081839        2.6174110664
       -1.0000000000       -0.7800000000       -5.4348363453        0.2205869964        2.6145493489
       -1.0000000000       -0.7600000000       -5.4214185818        0.2102412744        2.6114773074
       -1.0000000000       -0.7400000000       -5.4070054272        0.1990949310        2.6082104962
       -1.0000000000       -0.7200000000       -5.3916397972        0.1871745498        2.6047652474
       -1.0000000000       -0.7000000000       -5.3753680521        0.1745095030        2.6011585491
       -1.0000000000       -0.6800000000       -5.3582399881        0.1611320653        2.5974079228
       -1.0000000000       -0.6600000000       -5.3403088246        0.1470775242        2.5935313004
       -1.0000000000       -0.6400000000       -5.3216311840        0.1323842817        2.5895469023
       -1.0000000000       -0.6200000000       -5.3022670643        0.1170939456        2.5854731187
       -1.0000000000       -0.6000000000       -5.2822798014        0.1012514069        2.5813283944
       -1.0000000000       -0.5800000000       -5.2617360206        0.0849049013        2.5771311193
       -1.0000000000       -0.5600000000       -5.2407055738        0.0681060494        2.5728995244
       -1.0000000000       -0.5400000000       -5.2192614612        0.0509098757        2.5686515856
       -1.0000000000       -0.5200000000       -5.1974797337        0.0333747991        2.5644049346
       -1.0000000000       -0.5000000000       -5.1754393742        0.0155625953        2.5601767789
       -1.0000000000       -0.4800000000       -5.1532221545       -0.0024616752        2.5559838298
       -1.0000000000       -0.4600000000       -5.1309124638       -0.0206297759        2.5518422397
       -1.0000000000       -0.4400000000       -5.1085971065       -0.0388704426        2.5477675490
       -1.0000000000       -0.4200000000       -5.0863650650       -0.0571095757        2.5437746407
       -1.0000000000       -0.4000000000       -5.0643072253       -0.0752704796        2.5398777049
       -1.0000000000       -0.3800000000       -5.0425160601       -0.0932741505        2.5360902105
       -1.0000000000       -0.3600000000       -5.0210852694       -0.1110396170        2.5324248863
       -1.0000000000       -0.3400000000       -5.0001093734       -0.1284843340        2.5288937074
       -1.0000000000       -0.3200000000       -4.9796832580       -0.1455246317        2.5255078898
       -1.0000000000       -0.3000000000       -4.9599016711       -0.1620762187        2.5222778898
       -1.0000000000       -0.2800000000       -4.9408586701       -0.1780547393        2.5192134095
       -1.0000000000       -0.2600000000       -4.9226470236       -0.1933763821        2.5163234057
       -1.0000000000       -0.2400000000       -4.9053575685       -0.2079585346        2.5136161031
       -1.0000000000       -0.2200000000       -4.8890785298       -0.2217204801        2.5110990099
       -1.0000000000       -0.2000000000       -4.8738948094       -0.2345841260        2.5087789355
       -1.0000000000       -0.1800000000       -4.8598872529       -0.2464747569        2.5066620098
       -1.0000000000       -0.1600000000       -4.8471319055       -0.2573217975        2.5047537030
       -1.0000000000       -0.1400000000       -4.8356992711       -0.2670595742        2.5030588453
       -1.0000000000       -0.1200000000       -4.8256535875       -0.2756280587        2.5015816463
       -1.0000000000       -0.1000000000       -4.8170521346       -0.2829735784        2.5003257130
       -1.0000000000       -0.0800000000       -4.8099445914       -0.2890494758        2.4992940671
       -1.0000000000       -0.0600000000       -4.8043724578       -0.2938167016        2.4984891594
       -1.0000000000       -0.0400000000       -4.8003685576       -0.2972443248        2.4979128823
       -1.0000000000       -0.0200000000       -4.7979566348       -0.2993099456        2.4975665804
       -1.0000000000        0.0000000000       -4.7971510573       -0.3000000000        2.4974510573
       -1.0000000000        0.0200000000       -4.7979566348       -0.2993099456        2.4975665804
       -1.0000000000        0.0400000000       -4.8003685576       -0.2972443248        2.4979128823
       -1.0000000000        0.0600000000       -4.8043724578       -0.2938167016        2.4984891594
       -1.0000000000        0.0800000000       -4.8099445914       -0.2890494758        2.4992940671
       -1.0000000000        0.1000000000       -4.8170521346       -0.2829735784        2.5003257130
       -1.0000000000        0.1200000000       -4.8256535875       -0.2756280587        2.5015816463
       -1.0000000000        0.1400000000       -4.8356992711       -0.2670595742        2.5030588453
       -1.0000000000        0.1600000000       -4.8471319055       -0.2573217975        2.5047537030
       -1.0000000000        0.1800000000       -4.8598872529       -0.2464747569        2.5066620098
       -1.0000000000        0.2000000000       -4.8738948094       -0.2345841260        2.5087789355
       -1.0000000000        0.2200000000       -4.8890785298       -0.2217204801        2.5110990099
       -1.0000000000        0.2400000000       -4.9053575685       -0.2079585346        2.5136161031
       -1.0000000000        0.2600000000       -4.9226470236       -0.1933763821        2.5163234057
       -1.0000000000        0.2800000000       -4.9408586701       -0.1780547393        2.5192134095
       -1.0000000000        0.3000000000       -4.9599016711       -0.1620762187        2.5222778898
       -1.0000000000        0.3200000000       -4.9796832580       -0.1455246317        2.5255078898
       -1.0000000000        0.3400000000       -5.0001093734       -0.1284843340        2.5288937074
       -1.0000000000        0.3600000000       -5.0210852694       -0.1110396170        2.5324248863
       -1.0000000000        0.3800000000       -5.0425160601       -0.0932741505        2.5360902105
       -1.0000000000        0.4000000000       -5.0643072253       -0.0752704796        2.5398777049
